Jugador anonimizado;Minutos;"Avg Dist
(Sess)
(m)";"ZONA 4
19,9 A
25,1 KM/H";"ZONA 5
> 25,1
KM/H";"#ACELE
RACIONES
INTENSAS";"#DES
ACELERACIONES
INTENSAS";"# ACEL
+ DESINTENSAS";"#CANTIDAD
SPRINTS
TOTAL";"PROMEDIO 
ESFUERZOS 
REPETIDOS";Max. Vel (km/h);Metros/min;Tiempo;Rival;Número de fecha del torneo;Torneo;Fecha;Categoria de Partido;Posición;Posición Habitual;Gol?;Asistencia?;Lesión?;Edad;Peso;Altura
1;50;4.880;371;171;60;46;106;9;30;30;97,6;1;Independiente del Valle;1;Libertadores;04/04/2023;Importante;;Lateral / Volante;0;0;0;23;60;166
2;50;5.310;310;145;37;53;90;6;25;31;106,2;1;Independiente del Valle;1;Libertadores;04/04/2023;Importante;;Lateral / Volante;0;0;0;25;70;177
3;50;6.082;477;47;30;54;84;2;24;28;121,6;1;Independiente del Valle;1;Libertadores;04/04/2023;Importante;;Volante / Extremo;0;0;0;27;70;178
4;50;4.755;215;85;37;44;81;7;24;29;95,1;1;Independiente del Valle;1;Libertadores;04/04/2023;Importante;;Delantero;0;0;0;33;91;190
5;50;5.300;270;73;28;41;69;5;24;29;106;1;Independiente del Valle;1;Libertadores;04/04/2023;Importante;;Delantero;0;0;0;23;82;184
6;50;4.836;266;24;30;34;64;2;19;28;96,7;1;Independiente del Valle;1;Libertadores;04/04/2023;Importante;;Lateral;0;0;0;29;73;177
7;50;5.113;270;14;30;28;58;2;16;26;102,3;1;Independiente del Valle;1;Libertadores;04/04/2023;Importante;;Lateral;0;0;0;26;72;175
8;50;4.595;174;14;25;28;53;1;16;28;91,9;1;Independiente del Valle;1;Libertadores;04/04/2023;Importante;;Defensor Central;0;0;0;22;86;186
9;50;5.518;167;19;14;37;51;1;19;27;110,4;1;Independiente del Valle;1;Libertadores;04/04/2023;Importante;;Volante Central;0;0;0;21;78;188
10;50;756;36;29;11;1;12;3;4;29;15,1;1;Independiente del Valle;1;Libertadores;04/04/2023;Importante;;Volante Ofensivo / Extremo;0;0;0;32;62;168
11;35;3.853;258;65;44;47;91;3;19;29;110,1;2;Independiente del Valle;1;Libertadores;04/04/2023;Importante;;Volante Central;0;0;1;24;63;170
